;nodeI;nodeJ;distance;danger;amenagement
0;1;40;1.2414;1.2414;1
1;1;42;0.9182;0.9182;1
2;4;43;1.7375;3.475;0
3;13;14;0.9262;1.8524;0
4;13;52;1.132;2.264;0
5;13;54;1.5007;3.0014;0
6;14;13;0.9262;1.8524;0
7;14;54;1.0657;2.1314;0
8;16;55;1.431;2.862;0
9;16;57;1.5139;3.0278;0
10;18;19;0.7912;1.5824;0
11;19;20;1.0793;2.1586;0
12;19;58;1.4508;2.9016;0
13;19;59;1.3291;2.6582;0
14;19;60;1.7459;3.4918;0
15;20;21;0.9934;0.9934;1
16;20;60;1.0776;1.0776;1
17;20;61;1.7111;3.4222;0
18;21;20;0.9934;0.9934;1
19;21;22;1.3155;1.3155;1
20;21;60;1.2869;2.5738;0
21;21;62;1.8043;3.6086;0
22;22;21;1.3155;1.3155;1
23;22;62;0.9287;1.8574;0
24;22;63;0.9523;0.9523;1
25;23;24;1.1366;2.2732;0
26;23;63;1.12;2.24;0
27;24;63;1.6732;1.6732;1
28;24;65;1.766;3.532;0
29;24;23;1.7247;3.4494;0
30;25;66;1.2764;2.5528;0
31;26;27;0.8986;1.7972;0
32;26;67;1.7783;3.5566;0
33;27;26;0.8986;1.7972;0
34;27;28;1.4398;2.8796;0
35;27;67;1.0399;2.0798;0
36;27;68;1.7128;3.4256;0
37;28;27;1.4398;2.8796;0
38;28;68;0.8714;1.7428;0
39;31;32;0.8204;1.6408;0
40;31;70;1.6763;3.3526;0
41;32;31;0.8204;1.6408;0
42;32;73;1.5548;3.1096;0
43;34;35;1.2829;2.5658;0
44;34;73;1.3027;2.6054;0
45;34;74;1.2522;2.5044;0
46;35;34;1.2829;1.2829;1
47;35;76;1.5072;3.0144;0
48;37;76;1.6287;1.6287;1
49;38;39;1.532;3.064;0
50;38;78;1.2017;2.4034;0
51;39;38;1.532;3.064;0
52;39;78;1.4722;1.4722;1
53;40;1;1.2414;1.2414;1
54;42;1;0.9182;0.9182;1
55;42;43;1.3206;2.6412;0
56;42;81;1.4474;1.4474;1
57;43;42;1.3206;2.6412;0
58;43;4;1.7375;3.475;0
59;46;47;0.9358;1.8716;0
60;46;85;0.9994;1.9988;0
61;46;86;1.2196;1.2196;1
62;46;87;1.4292;2.8584;0
63;47;46;0.9358;1.8716;0
64;47;48;0.9928;1.9856;0
65;47;86;1.3533;2.7066;0
66;47;88;1.4864;2.9728;0
67;48;47;0.9928;1.9856;0
68;48;87;1.3137;2.6274;0
69;51;90;1.9816;3.9632;0
70;52;13;1.132;2.264;0
71;52;92;0.9496;1.8992;0
72;54;14;1.0657;2.1314;0
73;55;16;1.431;2.862;0
74;55;95;1.0386;2.0772;0
75;55;96;1.6887;3.3774;0
76;57;16;1.5139;3.0278;0
77;57;58;1.0485;2.097;0
78;57;98;1.8637;3.7274;0
79;58;57;1.0485;2.097;0
80;58;18;0.723;1.446;0
81;58;19;1.4508;2.9016;0
82;58;59;1.1745;2.349;0
83;58;97;1.2455;2.491;0
84;59;58;1.1745;2.349;0
85;59;19;1.3291;2.6582;0
86;59;20;1.4543;2.9086;0
87;60;59;1.0651;2.1302;0
88;60;20;1.0776;1.0776;1
89;60;19;1.7459;3.4918;0
90;60;21;1.2869;2.5738;0
91;60;99;1.7153;1.7153;1
92;60;101;1.572;3.144;0
93;61;60;0.9015;1.803;0
94;61;20;1.7111;3.4222;0
95;61;22;1.401;2.802;0
96;61;62;1.0483;2.0966;0
97;62;61;1.0483;1.0483;1
98;62;22;0.9287;1.8574;0
99;62;21;1.8043;3.6086;0
100;62;103;1.1286;2.2572;0
101;63;22;0.9523;0.9523;1
102;63;24;1.6732;3.3464;0
103;63;103;0.9482;1.8964;0
104;63;104;1.7319;1.7319;1
105;65;24;1.766;1.766;1
106;65;104;1.4509;1.4509;1
107;65;105;0.9928;1.9856;0
108;66;25;1.2764;2.5528;0
109;66;105;1.7122;3.4244;0
110;67;27;1.0399;2.0798;0
111;67;26;1.7783;3.5566;0
112;67;68;1.2182;2.4364;0
113;67;107;1.008;2.016;0
114;68;28;0.8714;1.7428;0
115;68;69;0.8696;1.7392;0
116;68;107;1.5596;3.1192;0
117;68;109;1.4775;2.955;0
118;69;68;0.8696;1.7392;0
119;69;70;0.8286;1.6572;0
120;69;109;1.3038;2.6076;0
121;69;110;1.6513;3.3026;0
122;70;69;0.8286;1.6572;0
123;70;31;1.6763;3.3526;0
124;70;71;0.9811;1.9622;0
125;70;110;1.219;2.438;0
126;70;111;1.6712;3.3424;0
127;71;70;0.9811;1.9622;0
128;71;110;1.6988;3.3976;0
129;71;112;1.6524;3.3048;0
130;72;73;0.8344;1.6688;0
131;72;112;0.8676;1.7352;0
132;73;72;0.8344;1.6688;0
133;73;32;1.5548;3.1096;0
134;73;34;1.3027;2.6054;0
135;73;74;0.8866;1.7732;0
136;74;73;0.8866;1.7732;0
137;74;34;1.2522;2.5044;0
138;74;114;0.9476;1.8952;0
139;75;35;1.4855;2.971;0
140;75;76;0.8604;1.7208;0
141;76;75;0.8604;1.7208;0
142;76;35;1.5072;1.5072;1
143;76;37;1.6287;3.2574;0
144;76;117;1.547;1.547;1
145;78;37;1.3773;1.3773;1
146;78;39;1.4722;2.9444;0
147;78;79;0.7618;1.5236;0
148;79;39;0.8652;1.7304;0
149;79;118;1.5069;3.0138;0
150;80;120;0.9835;1.967;0
151;81;42;1.4474;1.4474;1
152;81;120;1.5062;3.0124;0
153;81;121;1.3137;2.6274;0
154;81;122;1.7889;1.7889;1
155;84;123;1.3484;1.3484;1
156;84;125;1.33;1.33;1
157;85;46;0.9994;0.9994;1
158;85;126;1.7052;1.7052;1
159;86;46;1.2196;2.4392;0
160;86;87;0.6535;1.307;0
161;86;127;1.2551;2.5102;0
162;87;86;0.6535;1.307;0
163;87;48;1.3137;2.6274;0
164;87;88;0.9801;1.9602;0
165;87;126;1.3711;2.7422;0
166;87;128;1.641;3.282;0
167;88;48;0.9164;1.8328;0
168;88;47;1.4864;2.9728;0
169;88;89;0.9546;1.9092;0
170;88;127;1.5262;3.0524;0
171;88;128;0.9109;1.8218;0
172;89;88;0.9546;1.9092;0
173;89;129;1.1203;2.2406;0
174;89;90;1.7247;3.4494;0
175;90;51;1.9816;3.9632;0
176;90;129;1.4739;2.9478;0
177;92;52;0.9496;1.8992;0
178;92;93;1.3956;1.3956;1
179;93;92;1.3956;1.3956;1
180;93;54;1.4019;2.8038;0
181;93;132;1.5083;3.0166;0
182;93;134;1.3928;1.3928;1
183;95;55;1.0386;2.0772;0
184;95;54;1.0569;2.1138;0
185;95;96;1.0555;2.111;0
186;95;136;1.1839;2.3678;0
187;96;95;1.0555;2.111;0
188;96;97;1.3419;2.6838;0
189;97;96;1.3419;2.6838;0
190;97;58;1.2455;2.491;0
191;97;138;1.2857;2.5714;0
192;98;137;1.5647;3.1294;0
193;98;139;1.4997;1.4997;1
194;99;58;1.8021;3.6042;0
195;99;60;1.7153;1.7153;1
196;99;139;1.0587;1.0587;1
197;99;140;1.0329;2.0658;0
198;101;60;1.572;3.144;0
199;103;63;0.9482;1.8964;0
200;103;62;1.1286;1.1286;1
201;103;104;1.0209;2.0418;0
202;103;142;1.9278;1.9278;1
203;104;103;1.0209;1.0209;1
204;104;63;1.7319;3.4638;0
205;104;105;0.9008;1.8016;0
206;104;143;1.6022;3.2044;0
207;104;145;1.2838;1.2838;1
208;105;65;0.9928;1.9856;0
209;105;66;1.7122;3.4244;0
210;107;67;1.008;2.016;0
211;107;68;1.5596;3.1192;0
212;107;108;0.8155;1.631;0
213;107;147;0.611;1.222;0
214;107;148;1.2598;2.5196;0
215;108;107;0.8155;1.631;0
216;108;109;1.2642;1.2642;1
217;108;149;1.3967;1.3967;1
218;109;108;1.2642;1.2642;1
219;109;69;1.3038;2.6076;0
220;109;68;1.4775;2.955;0
221;109;110;0.6639;0.6639;1
222;109;148;1.6431;3.2862;0
223;109;149;1.121;2.242;0
224;110;109;0.6639;0.6639;1
225;110;70;1.219;2.438;0
226;110;69;1.6513;3.3026;0
227;110;71;1.6988;3.3976;0
228;110;111;1.2021;2.4042;0
229;110;149;1.3609;2.7218;0
230;110;151;1.5349;1.5349;1
231;111;110;1.2021;2.4042;0
232;111;151;0.9305;1.861;0
233;111;152;1.5518;3.1036;0
234;112;111;1.0458;2.0916;0
235;112;72;0.8676;1.7352;0
236;112;71;1.6524;3.3048;0
237;112;151;1.5219;3.0438;0
238;112;152;1.485;2.97;0
239;114;75;1.1903;2.3806;0
240;117;76;1.547;1.547;1
241;117;156;1.1138;2.2276;0
242;117;157;0.8667;0.8667;1
243;118;117;1.062;2.124;0
244;118;79;1.5069;3.0138;0
245;119;118;1.3829;2.7658;0
246;120;80;0.9835;1.967;0
247;120;81;1.5062;3.0124;0
248;120;121;1.2329;2.4658;0
249;120;160;1.1516;2.3032;0
250;121;120;1.2329;2.4658;0
251;121;81;1.3137;2.6274;0
252;121;122;1.0593;2.1186;0
253;122;81;1.7889;1.7889;1
254;122;123;1.0722;1.0722;1
255;122;162;0.8791;0.8791;1
256;122;163;1.3351;2.6702;0
257;123;84;1.3484;1.3484;1
258;125;84;1.33;1.33;1
259;125;165;1.2413;1.2413;1
260;126;85;1.7052;1.7052;1
261;126;87;1.3711;2.7422;0
262;126;127;0.831;0.831;1
263;127;126;0.831;0.831;1
264;127;87;1.19;2.38;0
265;127;86;1.2551;2.5102;0
266;127;88;1.5262;3.0524;0
267;127;166;1.299;1.299;1
268;127;168;1.2815;2.563;0
269;128;88;0.9109;1.8218;0
270;128;129;0.797;1.594;0
271;128;168;1.196;2.392;0
272;128;169;1.4181;2.8362;0
273;129;128;0.797;1.594;0
274;129;89;1.1203;2.2406;0
275;131;171;0.5445;1.089;0
276;131;172;1.6298;3.2596;0
277;132;93;1.5083;3.0166;0
278;132;171;1.3543;2.7086;0
279;132;173;1.7551;3.5102;0
280;134;93;1.3928;1.3928;1
281;134;173;1.2851;1.2851;1
282;136;95;1.1839;2.3678;0
283;136;175;1.4086;2.8172;0
284;137;98;1.5647;3.1294;0
285;137;176;0.8541;1.7082;0
286;138;97;1.2857;2.5714;0
287;138;139;1.2093;2.4186;0
288;138;178;0.9538;1.9076;0
289;138;179;1.7247;3.4494;0
290;139;138;1.2093;2.4186;0
291;139;99;1.0587;1.0587;1
292;139;98;1.4997;1.4997;1
293;139;140;0.7485;1.497;0
294;140;139;0.7485;1.497;0
295;140;99;1.0329;2.0658;0
296;140;141;1.0782;2.1564;0
297;141;140;1.0782;2.1564;0
298;141;101;1.0011;1.0011;1
299;141;142;0.8469;1.6938;0
300;141;182;1.6904;3.3808;0
301;142;141;0.8469;0.8469;1
302;142;103;1.9278;3.8556;0
303;143;104;1.6022;3.2044;0
304;143;183;1.1716;2.3432;0
305;144;145;1.0558;2.1116;0
306;144;183;1.7077;3.4154;0
307;145;144;1.0558;2.1116;0
308;145;104;1.2838;1.2838;1
309;145;146;0.7862;0.7862;1
310;145;184;1.5906;3.1812;0
311;146;145;0.7862;0.7862;1
312;146;187;1.5078;1.5078;1
313;147;146;1.4959;2.9918;0
314;147;107;0.611;1.222;0
315;147;186;1.8928;3.7856;0
316;147;187;1.1053;1.1053;1
317;148;109;1.6431;3.2862;0
