id;nodeI;nodeJ;distance;danger;amenagement
0;0;1;0.6906;1.3812;0
1;0;40;1.0436;2.0872;0
2;0;41;1.2742;2.5484;0
3;1;0;0.6906;1.3812;0
4;1;41;1.1911;2.3822;0
5;3;4;0.7414;1.4828;0
6;4;3;0.7414;1.4828;0
7;4;43;1.339;2.678;0
8;4;44;0.9075;1.815;0
9;5;4;1.4669;2.9338;0
10;5;44;1.659;3.318;0
11;5;46;0.99;1.98;0
12;6;5;0.8339;1.6678;0
13;6;45;1.1752;2.3504;0
14;6;47;1.212;2.424;0
15;7;8;1.0548;2.1096;0
16;7;46;1.2651;2.5302;0
17;7;47;0.66;1.32;0
18;8;7;1.0548;2.1096;0
19;8;49;0.9209;1.8418;0
20;9;48;0.9347;1.8694;0
21;9;50;1.2023;2.4046;0
22;10;11;0.7998;0.7998;1
23;11;10;0.7998;0.7998;1
24;11;12;1.3173;1.3173;1
25;11;50;1.1584;2.3168;0
26;12;11;1.3173;1.3173;1
27;12;13;1.0448;1.0448;1
28;12;52;1.1019;2.2038;0
29;12;53;0.975;1.95;0
30;13;53;0.5176;1.0352;0
31;13;54;1.2505;2.501;0
32;14;15;1.0986;2.1972;0
33;14;55;1.5728;1.5728;1
34;15;14;1.0986;2.1972;0
35;16;15;0.7141;1.4282;0
36;16;55;1.3063;2.6126;0
37;16;56;1.2203;2.4406;0
38;16;57;1.7082;3.4164;0
39;17;57;1.1618;2.3236;0
40;18;17;1.0453;2.0906;0
41;18;58;1.1187;2.2374;0
42;19;20;0.9046;1.8092;0
43;19;59;0.7705;1.541;0
44;19;60;1.15;2.3;0
45;20;19;0.9046;1.8092;0
46;20;21;1.1039;2.2078;0
47;20;59;1.3822;1.3822;1
48;20;60;1.0888;2.1776;0
49;21;60;1.7185;3.437;0
50;21;61;0.9101;1.8202;0
51;22;21;0.9811;1.9622;0
52;22;23;0.8329;1.6658;0
53;22;61;1.5527;3.1054;0
54;22;62;0.7596;1.5192;0
55;23;22;0.8329;1.6658;0
56;23;24;0.9742;1.9484;0
57;23;62;1.0999;2.1998;0
58;24;25;1.1791;2.3582;0
59;25;64;1.0499;2.0998;0
60;27;68;1.0882;1.0882;1
61;28;27;0.6087;1.2174;0
62;29;28;0.9657;1.9314;0
63;30;70;0.9862;1.9724;0
64;31;70;1.4524;2.9048;0
65;32;31;1.0061;2.0122;0
66;32;73;1.5829;3.1658;0
67;33;73;1.2011;2.4022;0
68;33;74;1.5062;3.0124;0
69;34;35;1.4975;2.995;0
70;34;73;1.3727;2.7454;0
71;34;74;1.0089;2.0178;0
72;35;34;1.4975;2.995;0
73;35;74;1.3362;2.6724;0
74;35;76;1.3031;2.6062;0
75;36;77;1.1101;2.2202;0
76;37;76;2.0555;4.111;0
77;37;77;1.0119;1.0119;1
78;39;78;1.348;2.696;0
79;40;0;1.0436;2.0872;0
80;40;1;1.264;2.528;0
81;40;80;1.013;2.026;0
82;41;40;0.5329;1.0658;0
83;41;80;1.1889;2.3778;0
84;41;82;1.4816;2.9632;0
